Order ID,Order Date,Completion Date,Required Accuracy,Price,Required Model Type,Customer ID,Employee ID,Model ID
S220600,2022-06-02,2022-07-05,67.04,261,DT,c0016,e00018,m0054
S220315,2022-04-27,2022-07-06,69.65,285,NN,c0031,e00006,m0002
S220589,2022-08-21,2022-10-13,73.5,395,DT,c0053,e00022,m0054
S230961,2023-10-31,2023-11-10,72.7,545,NN,c0014,e00014,m0065
S231270,2023-08-23,2023-09-04,66.2,537,NN,c0009,e00005,m0058
S210100,2021-01-24,2021-05-24,67.44,138,LR,c0018,e00014,m0075
S210689,2021-01-21,2021-07-17,65.08,104,NB,c0033,e00012,m0040
S220884,2022-09-14,2022-10-12,59.61,434,NN,c0014,e00014,m0002
S210404,2021-05-24,2021-09-15,59.65,237,LR,c0028,e00004,m0017
S220729,2022-03-01,2022-04-30,67.36,305,logR,c0005,e00012,m0044
S220240,2022-09-12,2022-12-14,76.73,226,LR,c0031,e00003,m0053
S231224,2023-10-19,2023-12-13,52.92,506,NN,c0058,e00006,m0035
S230509,2023-08-24,2023-11-16,67.53,407,NN,c0008,e00015,m0058
S230919,2023-02-11,2023-12-06,74.36,545,LR,c0029,e00008,m0075
S230696,2023-06-16,2023-08-27,71.37,512,NN,c0053,e00015,m0008
S220301,2022-02-05,2022-08-28,66.35,348,LR,c0008,e00006,m0045
S220433,2022-06-03,2022-11-03,59.74,364,logR,c0029,e00006,m0066
S230078,2023-05-01,2023-06-02,52.44,643,NN,c0024,e00004,m0050
S230094,2023-01-21,2023-12-24,56.23,407,SVM,c0022,e00005,m0012
S220791,2022-07-22,2022-08-16,68.38,265,NN,c0007,e00007,m0050
S210491,2021-02-28,2021-10-04,71.22,215,LR,c0023,e00010,m0037
S220984,2022-07-18,2022-12-05,56.88,261,SVM,c0016,e00016,m0041
S230323,2023-05-13,2023-05-14,58.59,636,NB,c0029,e00018,m0029
S220764,2022-09-07,2022-11-05,59.87,226,RF,c0013,e00021,m0001
S210471,2021-03-11,2021-07-16,66.52,165,SVM,c0065,e00016,m0003
S230664,2023-03-08,2023-04-30,65.06,482,NN,c0051,e00022,m0058
S230183,2023-06-01,2023-06-06,67.22,452,NN,c0070,e00014,m0002
S210663,2021-03-29,2021-12-27,64.26,196,logR,c0026,e00006,m0007
S220111,2022-01-16,2022-04-18,63.95,363,NN,c0025,e00007,m0002
S230531,2023-01-03,2023-09-27,73.31,537,logR,c0003,e00012,m0007
S230998,2023-11-20,2023-12-29,51.86,676,NN,c0035,e00018,m0016
S210547,2021-04-26,2021-07-25,68.31,146,logR,c0021,e00021,m0074
S230480,2023-10-28,2023-12-28,61.86,430,RF,c0053,e00018,m0062
S230394,2023-10-14,2023-11-11,54.17,519,logR,c0013,e00013,m0028
S230884,2023-03-26,2023-05-17,69.83,600,NN,c0001,e00013,m0016
S220992,2022-04-24,2022-07-28,60.65,358,NN,c0014,e00014,m0016
S210545,2021-04-01,2021-12-02,62.44,179,RF,c0020,e00020,m0062
S210204,2021-01-26,2021-09-10,75.97,249,DT,c0054,e00020,m0069
S210665,2021-04-25,2021-07-24,66.78,209,kNN,c0044,e00015,m0019
S230708,2023-10-13,2023-11-06,54.72,652,NN,c0041,e00017,m0016
S230516,2023-06-25,2023-08-08,66.84,494,DT,c0003,e00015,m0069
S220658,2022-10-19,2022-12-17,61.73,464,NN,c0047,e00009,m0016
S230748,2023-12-15,2023-12-27,57.03,461,NN,c0014,e00014,m0081
S231103,2023-08-03,2023-12-31,60.96,640,NN,c0012,e00006,m0002
S231268,2023-12-19,2023-12-25,63.83,422,LR,c0053,e00013,m0009
S220956,2022-03-26,2022-08-24,65.12,393,NN,c0052,e00021,m0043
S231355,2023-04-13,2023-11-14,75.37,503,LR,c0033,e00016,m0009
S231041,2023-06-21,2023-07-04,62.85,527,NN,c0015,e00002,m0002
S230674,2023-12-10,2023-12-16,54.27,491,NN,c0014,e00014,m0065
S230167,2023-06-19,2023-10-09,57.98,560,NN,c0014,e00014,m0008
S220375,2022-10-30,2022-12-06,66.24,283,NN,c0014,e00014,m0065
S231086,2023-08-28,2023-11-28,67.89,568,kNN,c0068,e00010,m0057
S230395,2023-10-03,2023-12-18,56.47,653,NN,c0014,e00014,m0008
S220512,2022-06-13,2022-11-12,53.92,225,NN,c0057,e00020,m0016
S220109,2022-01-30,2022-12-30,72.62,225,logR,c0070,e00014,m0022
S231175,2023-03-16,2023-10-02,55.94,618,NN,c0010,e00008,m0073
S231415,2023-10-24,2023-11-18,73.22,557,NN,c0055,e00016,m0058
S210655,2021-06-19,2021-11-29,65.11,248,NN,c0014,e00014,m0043
S220034,2022-04-27,2022-12-13,76.99,242,SVM,c0003,e00022,m0027
S210572,2021-07-20,2021-11-22,57.89,176,LR,c0068,e00002,m0017
S230645,2023-01-06,2023-03-07,60.6,515,NN,c0055,e00007,m0023
S230700,2023-10-08,2023-12-22,70.21,453,NN,c0014,e00014,m0058
S210853,2021-03-11,2021-10-31,51.69,279,NB,c0018,e00003,m0029
S230539,2023-05-05,2023-09-09,58.13,587,NN,c0052,e00020,m0008
S220439,2022-08-31,2022-12-23,57.57,426,DT,c0019,e00002,m0038
S220737,2022-12-14,2022-12-28,59.59,238,SVM,c0016,e00016,m0056
S210236,2021-11-20,2021-12-01,65.03,281,LR,c0010,e00018,m0009
S220379,2022-07-15,2022-12-16,69.57,488,logR,c0049,e00006,m0022
S210561,2021-11-11,2021-11-27,77.28,277,kNN,c0065,e00016,m0042
S210845,2021-02-12,2021-06-24,71.64,133,logR,c0024,e00002,m0066
S230342,2023-09-04,2023-09-27,59.47,403,SVM,c0016,e00016,m0027
S230434,2023-11-26,2023-12-21,62.0,567,NN,c0014,e00014,m0050
S210600,2021-10-06,2021-10-09,62.66,189,LR,c0015,e00012,m0017
S220616,2022-07-22,2022-08-28,57.81,275,kNN,c0043,e00001,m0019
S210377,2021-07-08,2021-11-20,65.74,115,logR,c0040,e00016,m0059
S230650,2023-07-16,2023-08-20,73.85,663,NN,c0046,e00021,m0058
S210018,2021-08-25,2021-10-03,75.01,124,logR,c0003,e00017,m0014
S220867,2022-01-30,2022-09-06,65.85,484,NN,c0070,e00022,m0081
S220409,2022-10-22,2022-12-05,57.36,344,NN,c0065,e00004,m0073
S231080,2023-05-09,2023-09-28,72.84,545,NN,c0014,e00014,m0081
S210758,2021-10-05,2021-10-10,61.93,289,kNN,c0006,e00006,m0004
S231191,2023-10-19,2023-12-30,55.95,562,NN,c0009,e00008,m0058
S231230,2023-03-02,2023-05-08,76.47,413,NB,c0057,e00014,m0029
S220183,2022-10-09,2022-12-10,71.32,367,SVM,c0016,e00016,m0071
S230319,2023-02-09,2023-10-11,77.99,597,NN,c0036,e00011,m0058
S220484,2022-04-14,2022-05-30,61.47,410,NN,c0010,e00013,m0016
S231242,2023-10-10,2023-12-21,70.89,608,NN,c0014,e00014,m0058
S210464,2021-08-18,2021-11-08,71.41,280,DT,c0046,e00016,m0076
S231005,2023-02-16,2023-03-04,55.9,402,logR,c0064,e00017,m0007
S230575,2023-05-27,2023-07-13,67.53,622,SVM,c0016,e00016,m0048
S230353,2023-10-22,2023-12-12,62.21,481,NN,c0025,e00002,m0065
S220095,2022-07-11,2022-09-30,65.71,490,SVM,c0029,e00016,m0056
S210009,2021-02-12,2021-07-28,56.74,216,kNN,c0009,e00005,m0010
S220077,2022-07-26,2022-11-08,74.77,331,NN,c0014,e00014,m0002
S230630,2023-01-10,2023-05-20,65.85,640,NN,c0071,e00005,m0035
S230437,2023-08-03,2023-11-27,70.89,644,kNN,c0032,e00018,m0034
S210164,2021-10-02,2021-10-04,58.8,129,NB,c0023,e00015,m0040
S220637,2022-09-24,2022-10-14,65.94,287,NB,c0031,e00021,m0067
S231345,2023-07-26,2023-11-14,76.77,490,RF,c0034,e00008,m0013
S210627,2021-08-06,2021-10-17,52.73,271,kNN,c0070,e00001,m0024
S230252,2023-07-26,2023-11-25,50.23,604,SVM,c0057,e00017,m0012
S230502,2023-07-20,2023-10-02,57.98,694,NN,c0042,e00009,m0043
S220302,2022-12-27,2022-12-30,50.26,480,NN,c0014,e00014,m0008
S230794,2023-12-08,2023-12-13,52.94,599,DT,c0022,e00004,m0018
S231283,2023-06-25,2023-11-15,53.35,699,NN,c0054,e00009,m0058
S230426,2023-02-01,2023-09-30,68.94,630,NN,c0052,e00019,m0058
S220940,2022-12-11,2022-12-24,53.83,235,NB,c0066,e00007,m0067
S210552,2021-10-12,2021-11-10,76.2,284,LR,c0038,e00018,m0017
S210213,2021-12-06,2021-12-21,52.43,146,DT,c0006,e00006,m0026
S210662,2021-06-12,2021-10-08,64.24,221,LR,c0047,e00013,m0030
S210326,2021-05-16,2021-08-30,72.09,179,NN,c0014,e00014,m0016
S220286,2022-06-16,2022-06-16,51.49,208,NN,c0071,e00017,m0016
S220287,2022-05-28,2022-08-28,73.96,257,NN,c0044,e00016,m0002
S220199,2022-02-04,2022-06-28,60.17,412,SVM,c0016,e00016,m0041
S220753,2022-11-20,2022-12-28,76.57,313,NN,c0014,e00014,m0043
S230528,2023-09-14,2023-09-17,50.51,663,NB,c0064,e00001,m0029
S220091,2022-03-10,2022-11-13,70.31,482,RF,c0059,e00019,m0032
S230555,2023-02-13,2023-10-22,56.55,490,NN,c0014,e00014,m0008
S230514,2023-02-01,2023-11-03,53.6,641,NB,c0058,e00007,m0015
S220986,2022-10-12,2022-11-26,71.17,444,NN,c0007,e00022,m0043
S220983,2022-02-07,2022-07-25,64.75,216,DT,c0010,e00002,m0061
S210768,2021-12-18,2021-12-23,61.42,212,logR,c0046,e00014,m0051
S230188,2023-09-20,2023-11-13,55.12,505,LR,c0037,e00001,m0053
S210817,2021-04-20,2021-06-08,59.62,245,NB,c0040,e00021,m0015
S230820,2023-11-07,2023-11-21,75.66,613,NN,c0038,e00006,m0050
S230702,2023-02-03,2023-08-30,75.65,435,logR,c0022,e00005,m0051
S220871,2022-11-19,2022-12-24,68.92,269,NN,c0014,e00014,m0035
S220826,2022-03-14,2022-11-16,53.51,487,NN,c0014,e00014,m0050
S220359,2022-12-18,2022-12-29,60.93,300,NB,c0033,e00002,m0078
S220534,2022-11-15,2022-12-26,63.37,353,kNN,c0028,e00016,m0010
S230971,2023-06-09,2023-07-20,71.75,456,NN,c0014,e00014,m0002
S220647,2022-07-13,2022-12-26,63.37,210,LR,c0001,e00007,m0030
S210676,2021-07-24,2021-11-17,56.71,145,kNN,c0056,e00012,m0024
S220620,2022-05-12,2022-12-27,54.62,392,NN,c0051,e00016,m0065
S210295,2021-04-24,2021-08-26,52.27,237,kNN,c0068,e00009,m0024
S230459,2023-06-07,2023-09-07,54.89,411,DT,c0025,e00001,m0061
S230430,2023-11-20,2023-11-27,63.11,588,NN,c0014,e00014,m0008
S220065,2022-05-07,2022-11-05,74.29,230,LR,c0039,e00008,m0053
S220462,2022-05-16,2022-06-11,71.74,262,NB,c0062,e00017,m0040
S230300,2023-05-05,2023-10-14,63.68,635,kNN,c0034,e00002,m0064
S210153,2021-08-12,2021-10-29,54.36,175,NB,c0067,e00022,m0029
S220412,2022-04-04,2022-07-11,63.48,301,NN,c0001,e00022,m0016
S231170,2023-10-30,2023-10-31,67.15,639,kNN,c0004,e00008,m0049
S220967,2022-03-04,2022-07-13,66.74,336,DT,c0056,e00021,m0046
S230929,2023-06-05,2023-06-08,62.34,686,NN,c0034,e00003,m0008
S220731,2022-06-09,2022-12-22,60.65,318,NN,c0014,e00014,m0023
S220460,2022-07-15,2022-12-20,57.36,354,kNN,c0068,e00021,m0042
S220760,2022-02-28,2022-10-03,57.53,273,kNN,c0020,e00002,m0034
S230441,2023-12-06,2023-12-09,65.07,671,NN,c0009,e00001,m0058
S230761,2023-11-10,2023-12-30,70.1,433,NB,c0053,e00017,m0052
S230273,2023-04-25,2023-08-02,66.51,416,LR,c0039,e00001,m0037
S220368,2022-02-22,2022-04-09,73.46,386,DT,c0072,e00004,m0026
S210227,2021-12-01,2021-12-11,75.34,298,NB,c0002,e00002,m0015
S231226,2023-01-02,2023-12-12,65.88,662,NN,c0048,e00010,m0043
S230545,2023-03-19,2023-08-07,76.08,529,RF,c0048,e00009,m0025
S220238,2022-04-27,2022-06-25,65.55,396,NN,c0019,e00017,m0023
S231118,2023-12-26,2023-12-30,58.68,508,kNN,c0035,e00011,m0057
S220430,2022-09-07,2022-09-15,66.37,234,LR,c0061,e00002,m0017
S210709,2021-09-02,2021-09-24,71.3,169,NB,c0059,e00016,m0078
S210691,2021-01-25,2021-04-26,65.69,247,NN,c0060,e00018,m0050
S210096,2021-01-05,2021-03-15,65.71,125,RF,c0020,e00020,m0032
S220182,2022-06-15,2022-11-23,54.53,364,NN,c0014,e00014,m0008
S210668,2021-03-14,2021-12-03,57.95,217,kNN,c0027,e00007,m0072
S220595,2022-05-01,2022-09-24,76.24,278,NB,c0005,e00018,m0015
S230668,2023-01-27,2023-10-11,65.83,684,NN,c0006,e00005,m0065
S231299,2023-04-21,2023-06-01,72.33,656,NN,c0063,e00019,m0081
S220346,2022-07-31,2022-09-01,57.37,467,NN,c0014,e00014,m0081
S231295,2023-07-05,2023-07-17,58.89,506,NN,c0014,e00014,m0065
S220624,2022-10-12,2022-10-21,67.16,346,SVM,c0039,e00002,m0003
S210052,2021-08-11,2021-10-19,66.73,270,LR,c0033,e00001,m0068
S220532,2022-05-13,2022-06-02,63.12,238,DT,c0051,e00015,m0069
S210779,2021-12-13,2021-12-22,56.9,142,kNN,c0016,e00009,m0004
S220823,2022-05-30,2022-12-31,73.88,335,RF,c0009,e00001,m0062
S230024,2023-04-15,2023-10-02,64.91,527,NB,c0034,e00001,m0078
S230942,2023-11-16,2023-12-02,63.28,592,NB,c0068,e00020,m0067
S230669,2023-02-03,2023-04-08,71.81,572,kNN,c0020,e00009,m0042
S220251,2022-11-08,2022-12-28,67.08,211,logR,c0021,e00004,m0059
S210152,2021-10-09,2021-11-08,70.23,162,RF,c0020,e00020,m0070
S230055,2023-07-14,2023-10-22,65.41,441,NN,c0039,e00006,m0016
S230128,2023-08-22,2023-09-14,65.99,602,NN,c0071,e00002,m0023
S220260,2022-08-18,2022-08-28,70.05,459,DT,c0051,e00020,m0005
S231252,2023-04-29,2023-06-24,71.85,615,NN,c0010,e00018,m0008
S220188,2022-03-31,2022-08-07,54.12,426,NB,c0063,e00020,m0052
S230354,2023-08-13,2023-08-22,54.67,622,DT,c0060,e00001,m0038
S231171,2023-08-15,2023-09-30,69.38,660,NN,c0032,e00019,m0023
S231348,2023-09-14,2023-09-17,51.38,692,NN,c0059,e00010,m0035
S230001,2023-02-17,2023-12-18,58.09,697,LR,c0041,e00006,m0060
S230308,2023-12-19,2023-12-31,69.38,532,NN,c0072,e00004,m0058
S210060,2021-11-29,2021-12-26,68.8,191,NN,c0046,e00018,m0065
S231178,2023-07-15,2023-12-09,71.3,404,NN,c0014,e00014,m0081
S230802,2023-05-19,2023-06-28,74.37,539,kNN,c0031,e00005,m0042
S220692,2022-01-20,2022-08-19,59.33,311,SVM,c0001,e00020,m0079
S210482,2021-01-01,2021-07-27,58.57,232,NN,c0024,e00021,m0081
S230424,2023-04-08,2023-05-31,55.28,592,NB,c0005,e00014,m0015
S210465,2021-11-13,2021-11-15,76.6,188,LR,c0059,e00004,m0009
S221005,2022-02-06,2022-08-14,71.55,495,NN,c0014,e00014,m0073
S210530,2021-05-01,2021-12-26,64.85,219,SVM,c0016,e00016,m0033
S210257,2021-01-19,2021-09-27,67.98,260,NB,c0013,e00017,m0040
S220642,2022-10-05,2022-10-22,73.16,475,kNN,c0068,e00016,m0042
S230012,2023-04-13,2023-06-20,64.45,545,NN,c0068,e00003,m0065
S220660,2022-09-14,2022-10-10,60.5,277,NN,c0014,e00014,m0002
S230298,2023-04-01,2023-07-11,68.46,695,NN,c0014,e00014,m0002
S220407,2022-01-24,2022-02-25,58.18,362,logR,c0014,e00014,m0074
S230733,2023-05-28,2023-10-30,63.49,623,LR,c0054,e00017,m0053
S210583,2021-03-17,2021-12-23,75.62,276,NB,c0059,e00022,m0029
S231169,2023-04-25,2023-07-12,71.65,651,NN,c0018,e00004,m0073
S230329,2023-07-10,2023-11-12,63.77,443,DT,c0019,e00011,m0046
S230909,2023-11-01,2023-12-07,56.65,469,LR,c0035,e00014,m0037
S230352,2023-05-12,2023-11-07,74.78,404,NN,c0025,e00002,m0008
S210166,2021-01-10,2021-12-28,75.26,224,LR,c0006,e00015,m0053
S220874,2022-08-13,2022-11-13,53.27,202,kNN,c0057,e00004,m0072
S231223,2023-06-28,2023-08-16,50.3,524,NN,c0005,e00022,m0058
S210070,2021-07-17,2021-08-10,73.43,174,SVM,c0002,e00001,m0079
S221004,2022-08-14,2022-09-04,57.45,303,NN,c0025,e00020,m0058
S221107,2022-12-09,2022-12-23,64.75,330,logR,c0017,e00006,m0066
S231147,2023-08-13,2023-10-13,58.32,633,kNN,c0007,e00002,m0080
S221038,2022-02-17,2022-09-18,66.64,419,NN,c0014,e00014,m0065
S231393,2023-10-27,2023-11-09,55.34,687,NN,c0014,e00014,m0065
S220434,2022-09-10,2022-11-06,75.93,301,NN,c0024,e00012,m0008
S230695,2023-10-14,2023-12-09,53.4,691,NN,c0014,e00014,m0016
S220416,2022-01-05,2022-10-04,54.12,280,logR,c0003,e00015,m0044
S210685,2021-03-28,2021-06-11,77.66,247,DT,c0042,e00016,m0011
S231387,2023-10-06,2023-12-11,69.78,574,NN,c0010,e00008,m0016
S210852,2021-02-11,2021-06-05,66.34,182,logR,c0013,e00013,m0014
S210349,2021-12-21,2021-12-31,65.7,269,SVM,c0018,e00001,m0063
S230974,2023-12-16,2023-12-31,58.01,557,DT,c0022,e00010,m0069
S231293,2023-09-05,2023-12-26,76.21,408,logR,c0055,e00020,m0066
S230991,2023-12-30,2023-12-30,73.25,679,NN,c0014,e00014,m0008
S210423,2021-08-13,2021-11-19,52.94,102,DT,c0002,e00002,m0054
S220902,2022-05-09,2022-06-15,64.74,259,NN,c0014,e00014,m0081
S210229,2021-03-14,2021-05-03,77.54,175,RF,c0056,e00015,m0006
S220415,2022-01-14,2022-02-04,59.71,455,NN,c0028,e00003,m0008
S210135,2021-07-08,2021-12-14,71.13,137,RF,c0020,e00020,m0020
S220957,2022-07-26,2022-08-01,53.4,209,LR,c0004,e00009,m0075
S230717,2023-06-28,2023-10-10,50.93,580,NN,c0006,e00011,m0065
S210705,2021-02-09,2021-03-26,57.65,145,NN,c0014,e00014,m0035
S210105,2021-04-03,2021-08-20,71.16,245,SVM,c0016,e00016,m0027
S231301,2023-05-11,2023-12-03,56.8,446,SVM,c0016,e00016,m0012
S210198,2021-12-17,2021-12-27,61.23,223,NN,c0006,e00009,m0008
S231218,2023-02-13,2023-12-18,61.69,665,LR,c0024,e00002,m0045
S220775,2022-01-23,2022-12-06,62.15,440,SVM,c0016,e00016,m0033
S231187,2023-09-16,2023-09-16,56.89,561,NB,c0002,e00020,m0078
S230959,2023-05-05,2023-10-31,74.56,420,RF,c0069,e00012,m0047
S220773,2022-12-16,2022-12-20,61.51,452,SVM,c0058,e00009,m0027
S230347,2023-04-17,2023-05-13,68.7,523,NN,c0047,e00008,m0002
S210296,2021-06-21,2021-12-26,75.96,115,kNN,c0052,e00009,m0064
S210073,2021-09-25,2021-12-01,75.4,204,RF,c0024,e00020,m0025
S210337,2021-05-26,2021-12-28,76.44,125,SVM,c0016,e00016,m0012
S220457,2022-10-05,2022-11-14,61.36,438,SVM,c0021,e00005,m0048
S230070,2023-09-12,2023-10-16,60.16,545,NN,c0018,e00015,m0058
S230256,2023-07-28,2023-08-15,55.82,483,RF,c0061,e00012,m0055
S210612,2021-02-21,2021-06-05,63.3,275,logR,c0019,e00013,m0051
S220048,2022-12-12,2022-12-27,52.17,447,DT,c0059,e00008,m0061
S210390,2021-05-22,2021-09-07,60.81,176,NN,c0005,e00001,m0008
S210543,2021-02-07,2021-12-21,63.87,282,NN,c0028,e00017,m0016
S210873,2021-11-08,2021-11-15,73.18,205,RF,c0020,e00020,m0039
S230453,2023-10-29,2023-10-30,52.13,591,NB,c0067,e00011,m0029
S210815,2021-12-25,2021-12-30,58.31,137,NB,c0028,e00020,m0029
S230833,2023-01-10,2023-12-24,57.51,557,NN,c0042,e00002,m0035
S230293,2023-03-05,2023-12-10,75.53,640,kNN,c0032,e00004,m0019
S231206,2023-01-04,2023-10-14,75.86,555,NN,c0052,e00003,m0065
S210151,2021-07-06,2021-09-20,69.53,188,LR,c0017,e00007,m0060
S231092,2023-01-11,2023-05-06,50.3,421,NN,c0014,e00014,m0008
S220771,2022-02-12,2022-05-24,68.54,338,NN,c0034,e00018,m0008
S230316,2023-02-06,2023-11-11,77.49,572,NN,c0064,e00007,m0043
S220744,2022-03-06,2022-06-18,55.87,404,DT,c0070,e00016,m0031
