Order ID,Customer ID,Employee ID,Required Model Type,Required Accuracy,Order Date,Completion Date,Model ID,Price
S230183,c0070,e00014,NN,67.22,2023/06/01,2023/06/06,m0002,452
S210663,c0026,e00006,logR,64.26,2021/03/29,2021/12/27,m0007,196
S220111,c0025,e00007,NN,63.95,2022/01/16,2022/04/18,m0002,363
S230531,c0003,e00012,logR,73.31,2023/01/03,2023/09/27,m0007,537
S230998,c0035,e00018,NN,51.86,2023/11/20,2023/12/29,m0016,676
S210547,c0021,e00021,logR,68.31,2021/04/26,2021/07/25,m0074,146
S230480,c0053,e00018,RF,61.86,2023/10/28,2023/12/28,m0062,430
S230394,c0013,e00013,logR,54.17,2023/10/14,2023/11/11,m0028,519
S230884,c0001,e00013,NN,69.83,2023/03/26,2023/05/17,m0016,600
S220992,c0014,e00014,NN,60.65,2022/04/24,2022/07/28,m0016,358
S210545,c0020,e00020,RF,62.44,2021/04/01,2021/12/02,m0062,179
S210204,c0054,e00020,DT,75.97,2021/01/26,2021/09/10,m0069,249
S210665,c0044,e00015,kNN,66.78,2021/04/25,2021/07/24,m0019,209
S230708,c0041,e00017,NN,54.72,2023/10/13,2023/11/06,m0016,652
S230516,c0003,e00015,DT,66.84,2023/06/25,2023/08/08,m0069,494
S220658,c0047,e00009,NN,61.73,2022/10/19,2022/12/17,m0016,464
S230748,c0014,e00014,NN,57.03,2023/12/15,2023/12/27,m0081,461
S231103,c0012,e00006,NN,60.96,2023/08/03,2023/12/31,m0002,640
S231268,c0053,e00013,LR,63.83,2023/12/19,2023/12/25,m0009,422
S220956,c0052,e00021,NN,65.12,2022/03/26,2022/08/24,m0043,393
S231355,c0033,e00016,LR,75.37,2023/04/13,2023/11/14,m0009,503
S231041,c0015,e00002,NN,62.85,2023/06/21,2023/07/04,m0002,527
S230674,c0014,e00014,NN,54.27,2023/12/10,2023/12/16,m0065,491
S230167,c0014,e00014,NN,57.98,2023/06/19,2023/10/09,m0008,560
S220375,c0014,e00014,NN,66.24,2022/10/30,2022/12/06,m0065,283
S231086,c0068,e00010,kNN,67.89,2023/08/28,2023/11/28,m0057,568
S230395,c0014,e00014,NN,56.47,2023/10/03,2023/12/18,m0008,653
S220512,c0057,e00020,NN,53.92,2022/06/13,2022/11/12,m0016,225
S220109,c0070,e00014,logR,72.62,2022/01/30,2022/12/30,m0022,225
S231175,c0010,e00008,NN,55.94,2023/03/16,2023/10/02,m0073,618
S231415,c0055,e00016,NN,73.22,2023/10/24,2023/11/18,m0058,557
S210655,c0014,e00014,NN,65.11,2021/06/19,2021/11/29,m0043,248
S220034,c0003,e00022,SVM,76.99,2022/04/27,2022/12/13,m0027,242
S210572,c0068,e00002,LR,57.89,2021/07/20,2021/11/22,m0017,176
S230645,c0055,e00007,NN,60.6,2023/01/06,2023/03/07,m0023,515
S230700,c0014,e00014,NN,70.21,2023/10/08,2023/12/22,m0058,453
S210853,c0018,e00003,NB,51.69,2021/03/11,2021/10/31,m0029,279
S230539,c0052,e00020,NN,58.13,2023/05/05,2023/09/09,m0008,587
S220439,c0019,e00002,DT,57.57,2022/08/31,2022/12/23,m0038,426
S220737,c0016,e00016,SVM,59.59,2022/12/14,2022/12/28,m0056,238
S210236,c0010,e00018,LR,65.03,2021/11/20,2021/12/01,m0009,281
S220379,c0049,e00006,logR,69.57,2022/07/15,2022/12/16,m0022,488
S210561,c0065,e00016,kNN,77.28,2021/11/11,2021/11/27,m0042,277
S210845,c0024,e00002,logR,71.64,2021/02/12,2021/06/24,m0066,133
S230342,c0016,e00016,SVM,59.47,2023/09/04,2023/09/27,m0027,403
S230434,c0014,e00014,NN,62,2023/11/26,2023/12/21,m0050,567
S210600,c0015,e00012,LR,62.66,2021/10/06,2021/10/09,m0017,189
S220616,c0043,e00001,kNN,57.81,2022/07/22,2022/08/28,m0019,275
S210377,c0040,e00016,logR,65.74,2021/07/08,2021/11/20,m0059,115
S230650,c0046,e00021,NN,73.85,2023/07/16,2023/08/20,m0058,663
S210018,c0003,e00017,logR,75.01,2021/08/25,2021/10/03,m0014,124
S220867,c0070,e00022,NN,65.85,2022/01/30,2022/09/06,m0081,484
S220409,c0065,e00004,NN,57.36,2022/10/22,2022/12/05,m0073,344
S231080,c0014,e00014,NN,72.84,2023/05/09,2023/09/28,m0081,545
S210758,c0006,e00006,kNN,61.93,2021/10/05,2021/10/10,m0004,289
S231191,c0009,e00008,NN,55.95,2023/10/19,2023/12/30,m0058,562
S231230,c0057,e00014,NB,76.47,2023/03/02,2023/05/08,m0029,413
S220183,c0016,e00016,SVM,71.32,2022/10/09,2022/12/10,m0071,367
S230319,c0036,e00011,NN,77.99,2023/02/09,2023/10/11,m0058,597
S220484,c0010,e00013,NN,61.47,2022/04/14,2022/05/30,m0016,410
S231242,c0014,e00014,NN,70.89,2023/10/10,2023/12/21,m0058,608
S210464,c0046,e00016,DT,71.41,2021/08/18,2021/11/08,m0076,280
S231005,c0064,e00017,logR,55.9,2023/02/16,2023/03/04,m0007,402
S230575,c0016,e00016,SVM,67.53,2023/05/27,2023/07/13,m0048,622
S230353,c0025,e00002,NN,62.21,2023/10/22,2023/12/12,m0065,481
S220095,c0029,e00016,SVM,65.71,2022/07/11,2022/09/30,m0056,490
S210009,c0009,e00005,kNN,56.74,2021/02/12,2021/07/28,m0010,216
S220077,c0014,e00014,NN,74.77,2022/07/26,2022/11/08,m0002,331
S230630,c0071,e00005,NN,65.85,2023/01/10,2023/05/20,m0035,640
S230437,c0032,e00018,kNN,70.89,2023/08/03,2023/11/27,m0034,644
S210164,c0023,e00015,NB,58.8,2021/10/02,2021/10/04,m0040,129
S220637,c0031,e00021,NB,65.94,2022/09/24,2022/10/14,m0067,287
S231345,c0034,e00008,RF,76.77,2023/07/26,2023/11/14,m0013,490
S210627,c0070,e00001,kNN,52.73,2021/08/06,2021/10/17,m0024,271
S230252,c0057,e00017,SVM,50.23,2023/07/26,2023/11/25,m0012,604
S230502,c0042,e00009,NN,57.98,2023/07/20,2023/10/02,m0043,694
S220302,c0014,e00014,NN,50.26,2022/12/27,2022/12/30,m0008,480
S230794,c0022,e00004,DT,52.94,2023/12/08,2023/12/13,m0018,599
S231283,c0054,e00009,NN,53.35,2023/06/25,2023/11/15,m0058,699
S230426,c0052,e00019,NN,68.94,2023/02/01,2023/09/30,m0058,630
S220940,c0066,e00007,NB,53.83,2022/12/11,2022/12/24,m0067,235
S210552,c0038,e00018,LR,76.2,2021/10/12,2021/11/10,m0017,284
S210213,c0006,e00006,DT,52.43,2021/12/06,2021/12/21,m0026,146
S210662,c0047,e00013,LR,64.24,2021/06/12,2021/10/08,m0030,221
S210326,c0014,e00014,NN,72.09,2021/05/16,2021/08/30,m0016,179
S220286,c0071,e00017,NN,51.49,2022/06/16,2022/06/16,m0016,208
S220287,c0044,e00016,NN,73.96,2022/05/28,2022/08/28,m0002,257
S220199,c0016,e00016,SVM,60.17,2022/02/04,2022/06/28,m0041,412
S220753,c0014,e00014,NN,76.57,2022/11/20,2022/12/28,m0043,313
S230528,c0064,e00001,NB,50.51,2023/09/14,2023/09/17,m0029,663
S220091,c0059,e00019,RF,70.31,2022/03/10,2022/11/13,m0032,482
S230555,c0014,e00014,NN,56.55,2023/02/13,2023/10/22,m0008,490
S230514,c0058,e00007,NB,53.6,2023/02/01,2023/11/03,m0015,641
S220986,c0007,e00022,NN,71.17,2022/10/12,2022/11/26,m0043,444
S220983,c0010,e00002,DT,64.75,2022/02/07,2022/07/25,m0061,216
S210768,c0046,e00014,logR,61.42,2021/12/18,2021/12/23,m0051,212
S230188,c0037,e00001,LR,55.12,2023/09/20,2023/11/13,m0053,505
S210817,c0040,e00021,NB,59.62,2021/04/20,2021/06/08,m0015,245
S230820,c0038,e00006,NN,75.66,2023/11/07,2023/11/21,m0050,613
S230702,c0022,e00005,logR,75.65,2023/02/03,2023/08/30,m0051,435
S220871,c0014,e00014,NN,68.92,2022/11/19,2022/12/24,m0035,269
S220826,c0014,e00014,NN,53.51,2022/03/14,2022/11/16,m0050,487
S220359,c0033,e00002,NB,60.93,2022/12/18,2022/12/29,m0078,300
S220534,c0028,e00016,kNN,63.37,2022/11/15,2022/12/26,m0010,353
S230971,c0014,e00014,NN,71.75,2023/06/09,2023/07/20,m0002,456
S220647,c0001,e00007,LR,63.37,2022/07/13,2022/12/26,m0030,210
S210676,c0056,e00012,kNN,56.71,2021/07/24,2021/11/17,m0024,145
S220620,c0051,e00016,NN,54.62,2022/05/12,2022/12/27,m0065,392
S210295,c0068,e00009,kNN,52.27,2021/04/24,2021/08/26,m0024,237
S230459,c0025,e00001,DT,54.89,2023/06/07,2023/09/07,m0061,411
S230430,c0014,e00014,NN,63.11,2023/11/20,2023/11/27,m0008,588
S220065,c0039,e00008,LR,74.29,2022/05/07,2022/11/05,m0053,230
S220462,c0062,e00017,NB,71.74,2022/05/16,2022/06/11,m0040,262
S230300,c0034,e00002,kNN,63.68,2023/05/05,2023/10/14,m0064,635
S210153,c0067,e00022,NB,54.36,2021/08/12,2021/10/29,m0029,175
S220412,c0001,e00022,NN,63.48,2022/04/04,2022/07/11,m0016,301
S231170,c0004,e00008,kNN,67.15,2023/10/30,2023/10/31,m0049,639
S220967,c0056,e00021,DT,66.74,2022/03/04,2022/07/13,m0046,336
S230929,c0034,e00003,NN,62.34,2023/06/05,2023/06/08,m0008,686
S220731,c0014,e00014,NN,60.65,2022/06/09,2022/12/22,m0023,318
S220460,c0068,e00021,kNN,57.36,2022/07/15,2022/12/20,m0042,354
S220760,c0020,e00002,kNN,57.53,2022/02/28,2022/10/03,m0034,273
S230441,c0009,e00001,NN,65.07,2023/12/06,2023/12/09,m0058,671
S230761,c0053,e00017,NB,70.1,2023/11/10,2023/12/30,m0052,433
S230273,c0039,e00001,LR,66.51,2023/04/25,2023/08/02,m0037,416
S220368,c0072,e00004,DT,73.46,2022/02/22,2022/04/09,m0026,386
S210227,c0002,e00002,NB,75.34,2021/12/01,2021/12/11,m0015,298
S231226,c0048,e00010,NN,65.88,2023/01/02,2023/12/12,m0043,662
S230545,c0048,e00009,RF,76.08,2023/03/19,2023/08/07,m0025,529
S220238,c0019,e00017,NN,65.55,2022/04/27,2022/06/25,m0023,396
S231118,c0035,e00011,kNN,58.68,2023/12/26,2023/12/30,m0057,508
S220430,c0061,e00002,LR,66.37,2022/09/07,2022/09/15,m0017,234
S210709,c0059,e00016,NB,71.3,2021/09/02,2021/09/24,m0078,169
S210691,c0060,e00018,NN,65.69,2021/01/25,2021/04/26,m0050,247
S210096,c0020,e00020,RF,65.71,2021/01/05,2021/03/15,m0032,125
S220182,c0014,e00014,NN,54.53,2022/06/15,2022/11/23,m0008,364
S210668,c0027,e00007,kNN,57.95,2021/03/14,2021/12/03,m0072,217
S220595,c0005,e00018,NB,76.24,2022/05/01,2022/09/24,m0015,278
S230668,c0006,e00005,NN,65.83,2023/01/27,2023/10/11,m0065,684
S231299,c0063,e00019,NN,72.33,2023/04/21,2023/06/01,m0081,656
S220346,c0014,e00014,NN,57.37,2022/07/31,2022/09/01,m0081,467
S231295,c0014,e00014,NN,58.89,2023/07/05,2023/07/17,m0065,506
S220624,c0039,e00002,SVM,67.16,2022/10/12,2022/10/21,m0003,346
S210052,c0033,e00001,LR,66.73,2021/08/11,2021/10/19,m0068,270
S220532,c0051,e00015,DT,63.12,2022/05/13,2022/06/02,m0069,238
S210779,c0016,e00009,kNN,56.9,2021/12/13,2021/12/22,m0004,142
S220823,c0009,e00001,RF,73.88,2022/05/30,2022/12/31,m0062,335
S230024,c0034,e00001,NB,64.91,2023/04/15,2023/10/02,m0078,527
S230942,c0068,e00020,NB,63.28,2023/11/16,2023/12/02,m0067,592
S230669,c0020,e00009,kNN,71.81,2023/02/03,2023/04/08,m0042,572
S220251,c0021,e00004,logR,67.08,2022/11/08,2022/12/28,m0059,211
S210152,c0020,e00020,RF,70.23,2021/10/09,2021/11/08,m0070,162
S230055,c0039,e00006,NN,65.41,2023/07/14,2023/10/22,m0016,441
S230128,c0071,e00002,NN,65.99,2023/08/22,2023/09/14,m0023,602
S220260,c0051,e00020,DT,70.05,2022/08/18,2022/08/28,m0005,459
S231252,c0010,e00018,NN,71.85,2023/04/29,2023/06/24,m0008,615
S220188,c0063,e00020,NB,54.12,2022/03/31,2022/08/07,m0052,426
S230354,c0060,e00001,DT,54.67,2023/08/13,2023/08/22,m0038,622
S231171,c0032,e00019,NN,69.38,2023/08/15,2023/09/30,m0023,660
S231348,c0059,e00010,NN,51.38,2023/09/14,2023/09/17,m0035,692
S230001,c0041,e00006,LR,58.09,2023/02/17,2023/12/18,m0060,697
S230308,c0072,e00004,NN,69.38,2023/12/19,2023/12/31,m0058,532
S210060,c0046,e00018,NN,68.8,2021/11/29,2021/12/26,m0065,191
S231178,c0014,e00014,NN,71.3,2023/07/15,2023/12/09,m0081,404
S230802,c0031,e00005,kNN,74.37,2023/05/19,2023/06/28,m0042,539
S220692,c0001,e00020,SVM,59.33,2022/01/20,2022/08/19,m0079,311
S210482,c0024,e00021,NN,58.57,2021/01/01,2021/07/27,m0081,232
S230424,c0005,e00014,NB,55.28,2023/04/08,2023/05/31,m0015,592
S210465,c0059,e00004,LR,76.6,2021/11/13,2021/11/15,m0009,188
S221005,c0014,e00014,NN,71.55,2022/02/06,2022/08/14,m0073,495
S210530,c0016,e00016,SVM,64.85,2021/05/01,2021/12/26,m0033,219
S210257,c0013,e00017,NB,67.98,2021/01/19,2021/09/27,m0040,260
S220642,c0068,e00016,kNN,73.16,2022/10/05,2022/10/22,m0042,475
S230012,c0068,e00003,NN,64.45,2023/04/13,2023/06/20,m0065,545
S220660,c0014,e00014,NN,60.5,2022/09/14,2022/10/10,m0002,277
S230298,c0014,e00014,NN,68.46,2023/04/01,2023/07/11,m0002,695
S220407,c0014,e00014,logR,58.18,2022/01/24,2022/02/25,m0074,362
S230733,c0054,e00017,LR,63.49,2023/05/28,2023/10/30,m0053,623
S210583,c0059,e00022,NB,75.62,2021/03/17,2021/12/23,m0029,276
S231169,c0018,e00004,NN,71.65,2023/04/25,2023/07/12,m0073,651
S230329,c0019,e00011,DT,63.77,2023/07/10,2023/11/12,m0046,443
S230909,c0035,e00014,LR,56.65,2023/11/01,2023/12/07,m0037,469
S230352,c0025,e00002,NN,74.78,2023/05/12,2023/11/07,m0008,404
S210166,c0006,e00015,LR,75.26,2021/01/10,2021/12/28,m0053,224
S220874,c0057,e00004,kNN,53.27,2022/08/13,2022/11/13,m0072,202
S231223,c0005,e00022,NN,50.3,2023/06/28,2023/08/16,m0058,524
S210070,c0002,e00001,SVM,73.43,2021/07/17,2021/08/10,m0079,174
S221004,c0025,e00020,NN,57.45,2022/08/14,2022/09/04,m0058,303
S221107,c0017,e00006,logR,64.75,2022/12/09,2022/12/23,m0066,330
S231147,c0007,e00002,kNN,58.32,2023/08/13,2023/10/13,m0080,633
S221038,c0014,e00014,NN,66.64,2022/02/17,2022/09/18,m0065,419
S231393,c0014,e00014,NN,55.34,2023/10/27,2023/11/09,m0065,687
S220434,c0024,e00012,NN,75.93,2022/09/10,2022/11/06,m0008,301
S230695,c0014,e00014,NN,53.4,2023/10/14,2023/12/09,m0016,691
S220416,c0003,e00015,logR,54.12,2022/01/05,2022/10/04,m0044,280
S210685,c0042,e00016,DT,77.66,2021/03/28,2021/06/11,m0011,247
S231387,c0010,e00008,NN,69.78,2023/10/06,2023/12/11,m0016,574
S210852,c0013,e00013,logR,66.34,2021/02/11,2021/06/05,m0014,182
S210349,c0018,e00001,SVM,65.7,2021/12/21,2021/12/31,m0063,269
S230974,c0022,e00010,DT,58.01,2023/12/16,2023/12/31,m0069,557
S231293,c0055,e00020,logR,76.21,2023/09/05,2023/12/26,m0066,408
S230991,c0014,e00014,NN,73.25,2023/12/30,2023/12/30,m0008,679
S210423,c0002,e00002,DT,52.94,2021/08/13,2021/11/19,m0054,102
S220902,c0014,e00014,NN,64.74,2022/05/09,2022/06/15,m0081,259
S210229,c0056,e00015,RF,77.54,2021/03/14,2021/05/03,m0006,175
S220415,c0028,e00003,NN,59.71,2022/01/14,2022/02/04,m0008,455
S210135,c0020,e00020,RF,71.13,2021/07/08,2021/12/14,m0020,137
S220957,c0004,e00009,LR,53.4,2022/07/26,2022/08/01,m0075,209
S230717,c0006,e00011,NN,50.93,2023/06/28,2023/10/10,m0065,580
S210705,c0014,e00014,NN,57.65,2021/02/09,2021/03/26,m0035,145
S210105,c0016,e00016,SVM,71.16,2021/04/03,2021/08/20,m0027,245
S231301,c0016,e00016,SVM,56.8,2023/05/11,2023/12/03,m0012,446
S210198,c0006,e00009,NN,61.23,2021/12/17,2021/12/27,m0008,223
S231218,c0024,e00002,LR,61.69,2023/02/13,2023/12/18,m0045,665
S220775,c0016,e00016,SVM,62.15,2022/01/23,2022/12/06,m0033,440
S231187,c0002,e00020,NB,56.89,2023/09/16,2023/09/16,m0078,561
S230959,c0069,e00012,RF,74.56,2023/05/05,2023/10/31,m0047,420
S220773,c0058,e00009,SVM,61.51,2022/12/16,2022/12/20,m0027,452
S230347,c0047,e00008,NN,68.7,2023/04/17,2023/05/13,m0002,523
S210296,c0052,e00009,kNN,75.96,2021/06/21,2021/12/26,m0064,115
S210073,c0024,e00020,RF,75.4,2021/09/25,2021/12/01,m0025,204
S210337,c0016,e00016,SVM,76.44,2021/05/26,2021/12/28,m0012,125
S220457,c0021,e00005,SVM,61.36,2022/10/05,2022/11/14,m0048,438
S230070,c0018,e00015,NN,60.16,2023/09/12,2023/10/16,m0058,545
S230256,c0061,e00012,RF,55.82,2023/07/28,2023/08/15,m0055,483
S210612,c0019,e00013,logR,63.3,2021/02/21,2021/06/05,m0051,275
S220048,c0059,e00008,DT,52.17,2022/12/12,2022/12/27,m0061,447
S210390,c0005,e00001,NN,60.81,2021/05/22,2021/09/07,m0008,176
S210543,c0028,e00017,NN,63.87,2021/02/07,2021/12/21,m0016,282
S210873,c0020,e00020,RF,73.18,2021/11/08,2021/11/15,m0039,205
S230453,c0067,e00011,NB,52.13,2023/10/29,2023/10/30,m0029,591
S210815,c0028,e00020,NB,58.31,2021/12/25,2021/12/30,m0029,137
S230833,c0042,e00002,NN,57.51,2023/01/10,2023/12/24,m0035,557
S230293,c0032,e00004,kNN,75.53,2023/03/05,2023/12/10,m0019,640
S231206,c0052,e00003,NN,75.86,2023/01/04,2023/10/14,m0065,555
S210151,c0017,e00007,LR,69.53,2021/07/06,2021/09/20,m0060,188
S231092,c0014,e00014,NN,50.3,2023/01/11,2023/05/06,m0008,421
S220771,c0034,e00018,NN,68.54,2022/02/12,2022/05/24,m0008,338
S230316,c0064,e00007,NN,77.49,2023/02/06,2023/11/11,m0043,572
S220744,c0070,e00016,DT,55.87,2022/03/06,2022/06/18,m0031,404
